label,reserva ,fechayhora,ilumina,servicio,mza-lote,casa,usuario,precio
353,1652644,2020-11-26 16:00:00,SOL,Cancha 1,APROBADA,N-09,Propietario,90.0
352,1687243,2020-12-02 18:00:00,LUZ,Cancha 1,APROBADA,M-03,Invitado,190.0
351,1687608,2020-12-02 19:00:00,LUZ,Cancha 2,APROBADA,H-07,Invitado,190.0
350,1712222,2020-12-04 17:00:00,SOL,Cancha 1,APROBADA,E-08,Invitado,90.0
349,1712511,2020-12-04 18:00:00,LUZ,Cancha 1,APROBADA,PRUEBA,Propietario,190.0
348,1726220,2020-12-07 10:00:00,SOL,Cancha 1,APROBADA,D-02,Propietario,90.0
347,1726498,2020-12-07 12:00:00,SOL,Cancha 2,APROBADA,G-15,Propietario,90.0
346,1770558,2020-12-12 19:00:00,LUZ,Cancha 1,APROBADA,G-15,Invitado,190.0
345,1777094,2020-12-14 19:00:00,LUZ,Cancha 1,APROBADA,D-02,Propietario,190.0
344,1813366,2020-12-18 18:00:00,LUZ,Cancha 1,APROBADA,M-01,Invitado,190.0
343,1817197,2020-12-19 13:00:00,SOL,Cancha 1,APROBADA,M-01,Invitado,90.0
342,1818094,2020-12-19 20:00:00,LUZ,Cancha 1,APROBADA,M-03,Propietario,190.0
341,1837185,2020-12-22 19:00:00,LUZ,Cancha 1,APROBADA,L-11,Propietario,190.0
340,1876545,2020-12-26 19:00:00,LUZ,Cancha 1,APROBADA,M-01,Propietario,190.0
339,1899786,2020-12-29 18:00:00,LUZ,Cancha 1,APROBADA,J-06,Propietario,190.0
338,1899787,2020-12-29 19:00:00,LUZ,Cancha 1,APROBADA,J-06,Invitado,190.0
337,1954087,2021-01-04 19:00:00,LUZ,Cancha 1,APROBADA,M-01,Invitado,200.0
336,2047040,2021-01-14 18:00:00,LUZ,Cancha 1,APROBADA,K-04,Propietario,200.0
335,2056859,2021-01-15 19:00:00,LUZ,Cancha 1,APROBADA,M-01,Propietario,200.0
334,2080099,2021-01-18 19:00:00,LUZ,Cancha 1,APROBADA,M-01,Invitado,200.0
333,2090154,2021-01-19 19:00:00,LUZ,Cancha 1,APROBADA,M-01,Invitado,200.0
332,2138294,2021-01-25 19:00:00,LUZ,Cancha 1,APROBADA,K-04,Propietario,200.0
331,2189320,2021-01-28 20:00:00,LUZ,Cancha 2,APROBADA,B-01,Propietario,200.0
330,2210280,2021-01-31 18:00:00,LUZ,Cancha 1,APROBADA,L-09,Propietario,200.0
328,2216098,2021-02-01 18:00:00,LUZ,Cancha 2,APROBADA,K-04,Propietario,200.0
329,2214056,2021-02-01 18:00:00,LUZ,Cancha 1,APROBADA,M-01,Propietario,200.0
327,2231480,2021-02-03 16:00:00,SOL,Cancha 1,APROBADA,M-03,Propietario,100.0
326,2232039,2021-02-03 18:00:00,LUZ,Cancha 1,APROBADA,K-04,Invitado,200.0
325,2277258,2021-02-09 15:00:00,SOL,Cancha 1,APROBADA,M-01,Propietario,100.0
324,2315048,2021-02-13 18:00:00,LUZ,Cancha 1,APROBADA,G-15,Invitado,200.0
323,2330589,2021-02-16 17:00:00,SOL,Cancha 1,APROBADA,K-04,Propietario,100.0
322,2334605,2021-02-17 09:00:00,SOL,Cancha 1,APROBADA,K-04,Invitado,100.0
321,2354043,2021-02-19 18:00:00,LUZ,Cancha 1,APROBADA,M-01,Propietario,200.0
320,2360220,2021-02-20 11:00:00,SOL,Cancha 1,APROBADA,M-01,Propietario,100.0
319,2363177,2021-02-20 17:00:00,SOL,Cancha 1,APROBADA,G-15,Invitado,100.0
318,2374328,2021-02-22 15:00:00,SOL,Cancha 1,APROBADA,M-01,Invitado,100.0
317,2382252,2021-02-23 19:00:00,LUZ,Cancha 1,APROBADA,D-03,Invitado,200.0
316,2417282,2021-02-26 20:00:00,LUZ,Cancha 1,APROBADA,D-03,Invitado,200.0
315,2430083,2021-02-27 17:00:00,SOL,Cancha 1,APROBADA,G-15,Invitado,100.0
314,2540844,2021-03-06 18:00:00,LUZ,Cancha 1,APROBADA,G-15,Invitado,200.0
313,2588112,2021-03-13 18:00:00,LUZ,Cancha 1,APROBADA,G-15,Invitado,200.0
312,2588508,2021-03-13 19:00:00,LUZ,Cancha 2,APROBADA,B-18,Propietario,200.0
